Unnamed: 0,LOS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Crewchange,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Ark,Crew Change,Unnamed: 1
Fakt.,Løpe-nummer,Dato,Order-Nr.,"TechLog
Nr.",Ship,Sign,KUN FRA LISTE              Sted/Type,,Landinger MONG                  STURE                    KÅRSTØ   ,LOS,KUN RIGG - Rotor Rønnings Tid (min),PAX,SHIP LANDING,Skriv 1 vis tåke/ bomtur. SHIP,Landinger ENFJ,HOIST,"Crew
Change",Total flight distance nm,Heli deck idle time,Total repositioning (to other airports) Flight time,Kommentar:,2017,,
ja,41,2017-07-11 00:00:00,,,AFFINITY V,AMU,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,42,2017-07-11 00:00:00,,,EAGLE BERGEN,MÆL,Mongstad,,,1,,,1,,1,,,,,,,2017,,
ja,43,2017-07-11 00:00:00,,,ARCTIC PRINCESS,TJA,Melkøya,,,1,,,,,,1,,,,,,2017,,
ja,44,2017-07-11 00:00:00,,,SCARABEO 5,EON,Los øvrig,,,1,118,,1,,1,,,,,,"Plattform inn til Florø, 2 Los",2017,,
ja,45,2017-07-12 00:00:00,,,LIGOVSKY PROSPECT,EON,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,46,2017-07-13 00:00:00,,,OSLO TS,BRE,Kårstø,,,1,,,,,1,1,,,,,,2017,,
ja,47,2017-07-13 00:00:00,,,ARCTIC PRINCESS,HUS,Melkøya,,,1,,,,,,1,,,,,2017-07-13 00:00:00,2017,,
ja,48,2017-07-13 00:00:00,,,LIGOVSKY PROSPECT,BRE,Sture,,,1,,,,,,1,,,,,Tur 49 og 50 er båt til båt,2017,,
ja,49,2017-07-13 00:00:00,,,SOLA TS,BRE,Sture,,,1,,,,,1,1,,,,,,2017,,
ja,50,2017-07-13 00:00:00,,,EAGLE BERGEN,MÆL,Mongstad,,,1,,,1,,1,,,,,,,2017,,
ja,51,2017-07-13 00:00:00,,,AFFINITIY V,MÆL,Mongstad,,,1,,,,,1,1,,,,,,2017,,
ja,52,2017-07-13 00:00:00,,,ADVANTAGE ARROW,FRØ,Kårstø,,,1,,,,,,1,,,,,Los hentet på Sola,2017,,
